deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,25,1,0,350,14.6
50mb,1,700m,25,1,0,400,15.1
50mb,1,700m,25,1,0,450,15.1
50mb,1,700m,25,1,0,500,14.6
50mb,1,700m,25,1,20,350,23.8
50mb,1,700m,25,1,20,400,23.4
50mb,1,700m,25,1,20,450,22.6
50mb,1,700m,25,1,20,500,21.7
50mb,1,700m,25,1,40,350,61.5
50mb,1,700m,25,1,40,400,57.6
50mb,1,700m,25,1,40,450,57.2
50mb,1,700m,25,1,40,500,47.2
50mb,1,700m,25,1,60,350,71.3
50mb,1,700m,25,1,60,400,51.7
50mb,1,700m,25,1,60,450,54.0
50mb,1,700m,25,1,60,500,58.8
50mb,1,700m,25,1,80,350,92.0
50mb,1,700m,25,1,80,400,93.2
50mb,1,700m,25,1,80,450,88.4
50mb,1,700m,25,1,80,500,95.6
50mb,1,700m,25,1,100,350,110.6
50mb,1,700m,25,1,100,400,89.3
50mb,1,700m,25,1,100,450,84.6
50mb,1,700m,25,1,100,500,99.1
50mb,1,700m,25,1,120,350,157.6
50mb,1,700m,25,1,120,400,159.8
50mb,1,700m,25,1,120,450,158.9
50mb,1,700m,25,1,120,500,172.4
50mb,1,700m,25,1,140,350,184.9
50mb,1,700m,25,1,140,400,214.1
50mb,1,700m,25,1,140,450,196.6
50mb,1,700m,25,1,140,500,177.0
50mb,1,700m,25,1,160,350,693.1
50mb,1,700m,25,1,160,400,1112.2
50mb,1,700m,25,1,160,450,704.7
50mb,1,700m,25,1,160,500,867.6
50mb,1,700m,25,1,180,350,3080.5
50mb,1,700m,25,1,180,400,3523.5
50mb,1,700m,25,1,180,450,4063.0
50mb,1,700m,25,1,180,500,5677.6
50mb,1,700m,25,1,200,350,5908.7
50mb,1,700m,25,1,200,400,8169.7
50mb,1,700m,25,1,200,450,6859.4
50mb,1,700m,25,1,200,500,7916.1
50mb,1,700m,25,2,0,350,14.8
50mb,1,700m,25,2,0,400,15.0
50mb,1,700m,25,2,0,450,14.5
50mb,1,700m,25,2,0,500,13.1
50mb,1,700m,25,2,20,350,22.9
50mb,1,700m,25,2,20,400,23.0
50mb,1,700m,25,2,20,450,22.8
50mb,1,700m,25,2,20,500,21.7
50mb,1,700m,25,2,40,350,45.5
50mb,1,700m,25,2,40,400,45.5
50mb,1,700m,25,2,40,450,49.3
50mb,1,700m,25,2,40,500,69.4
50mb,1,700m,25,2,60,350,61.9
50mb,1,700m,25,2,60,400,56.8
50mb,1,700m,25,2,60,450,56.3
50mb,1,700m,25,2,60,500,62.9
50mb,1,700m,25,2,80,350,449.9
50mb,1,700m,25,2,80,400,547.6
50mb,1,700m,25,2,80,450,340.9
50mb,1,700m,25,2,80,500,653.4
50mb,1,700m,25,2,100,350,2610.2
50mb,1,700m,25,2,100,400,2745.2
50mb,1,700m,25,2,100,450,3300.3
50mb,1,700m,25,2,100,500,1936.5
50mb,1,700m,25,2,120,350,5609.2
50mb,1,700m,25,2,120,400,4252.7
50mb,1,700m,25,2,120,450,4833.5
50mb,1,700m,25,2,120,500,5217.3
50mb,1,700m,25,2,140,350,7155.4
50mb,1,700m,25,2,140,400,6346.1
50mb,1,700m,25,2,140,450,7335.7
50mb,1,700m,25,2,140,500,8064.1
50mb,1,700m,25,2,160,350,10185.6
50mb,1,700m,25,2,160,400,10071.7
50mb,1,700m,25,2,160,450,11336.8
50mb,1,700m,25,2,160,500,9669.9
50mb,1,700m,25,2,180,350,14451.3
50mb,1,700m,25,2,180,400,14800.7
50mb,1,700m,25,2,180,450,14650.4
50mb,1,700m,25,2,180,500,14653.7
50mb,1,700m,25,2,200,350,19986.6
50mb,1,700m,25,2,200,400,19841.4
50mb,1,700m,25,2,200,450,18148.7
50mb,1,700m,25,2,200,500,17088.1
50mb,1,700m,25,3,0,350,13.3
50mb,1,700m,25,3,0,400,15.2
50mb,1,700m,25,3,0,450,14.1
50mb,1,700m,25,3,0,500,15.0
50mb,1,700m,25,3,20,350,21.6
50mb,1,700m,25,3,20,400,22.9
50mb,1,700m,25,3,20,450,21.5
50mb,1,700m,25,3,20,500,22.3
50mb,1,700m,25,3,40,350,86.4
50mb,1,700m,25,3,40,400,72.0
50mb,1,700m,25,3,40,450,64.5
50mb,1,700m,25,3,40,500,74.9
50mb,1,700m,25,3,60,350,420.1
50mb,1,700m,25,3,60,400,396.1
50mb,1,700m,25,3,60,450,631.8
50mb,1,700m,25,3,60,500,973.7
50mb,1,700m,25,3,80,350,2194.7
50mb,1,700m,25,3,80,400,2399.6
50mb,1,700m,25,3,80,450,2900.4
50mb,1,700m,25,3,80,500,2534.1
50mb,1,700m,25,3,100,350,4263.3
50mb,1,700m,25,3,100,400,5566.1
50mb,1,700m,25,3,100,450,4703.0
50mb,1,700m,25,3,100,500,5497.3
50mb,1,700m,25,3,120,350,6562.0
50mb,1,700m,25,3,120,400,7300.7
50mb,1,700m,25,3,120,450,9032.4
50mb,1,700m,25,3,120,500,7814.5
50mb,1,700m,25,3,140,350,11050.2
50mb,1,700m,25,3,140,400,12656.0
50mb,1,700m,25,3,140,450,13086.5
50mb,1,700m,25,3,140,500,10026.6
50mb,1,700m,25,3,160,350,14981.6
50mb,1,700m,25,3,160,400,16215.6
50mb,1,700m,25,3,160,450,15768.7
50mb,1,700m,25,3,160,500,15397.4
50mb,1,700m,25,3,180,350,19362.6
50mb,1,700m,25,3,180,400,18394.8
50mb,1,700m,25,3,180,450,20664.8
50mb,1,700m,25,3,180,500,18916.4
50mb,1,700m,25,3,200,350,22224.9
50mb,1,700m,25,3,200,400,20905.2
50mb,1,700m,25,3,200,450,25917.6
50mb,1,700m,25,3,200,500,22967.4
50mb,1,700m,25,4,0,350,15.4
50mb,1,700m,25,4,0,400,14.6
50mb,1,700m,25,4,0,450,15.1
50mb,1,700m,25,4,0,500,14.7
50mb,1,700m,25,4,20,350,21.5
50mb,1,700m,25,4,20,400,22.5
50mb,1,700m,25,4,20,450,22.1
50mb,1,700m,25,4,20,500,24.5
50mb,1,700m,25,4,40,350,238.2
50mb,1,700m,25,4,40,400,262.6
50mb,1,700m,25,4,40,450,297.8
50mb,1,700m,25,4,40,500,352.7
50mb,1,700m,25,4,60,350,1141.3
50mb,1,700m,25,4,60,400,1073.1
50mb,1,700m,25,4,60,450,1422.5
50mb,1,700m,25,4,60,500,1049.6
50mb,1,700m,25,4,80,350,3722.7
50mb,1,700m,25,4,80,400,4064.5
50mb,1,700m,25,4,80,450,4450.1
50mb,1,700m,25,4,80,500,3861.6
50mb,1,700m,25,4,100,350,7089.4
50mb,1,700m,25,4,100,400,6275.5
50mb,1,700m,25,4,100,450,7002.1
50mb,1,700m,25,4,100,500,7460.5
50mb,1,700m,25,4,120,350,10750.8
50mb,1,700m,25,4,120,400,11060.6
50mb,1,700m,25,4,120,450,11125.7
50mb,1,700m,25,4,120,500,10543.8
50mb,1,700m,25,4,140,350,15026.5
50mb,1,700m,25,4,140,400,16019.4
50mb,1,700m,25,4,140,450,14694.7
50mb,1,700m,25,4,140,500,13859.8
50mb,1,700m,25,4,160,350,19517.8
50mb,1,700m,25,4,160,400,20173.9
50mb,1,700m,25,4,160,450,18704.4
50mb,1,700m,25,4,160,500,17485.2
50mb,1,700m,25,4,180,350,21766.6
50mb,1,700m,25,4,180,400,24971.1
50mb,1,700m,25,4,180,450,23429.8
50mb,1,700m,25,4,180,500,24076.5
50mb,1,700m,25,4,200,350,27392.3
50mb,1,700m,25,4,200,400,27491.5
50mb,1,700m,25,4,200,450,26562.5
50mb,1,700m,25,4,200,500,27128.0
50mb,1,700m,25,5,0,350,14.7
50mb,1,700m,25,5,0,400,13.9
50mb,1,700m,25,5,0,450,15.1
50mb,1,700m,25,5,0,500,15.3
50mb,1,700m,25,5,20,350,22.0
50mb,1,700m,25,5,20,400,22.5
50mb,1,700m,25,5,20,450,23.7
50mb,1,700m,25,5,20,500,23.3
